pub_nbr,app_year,sim_occ
36041,1980,818
50180,1981,812
18543,1980,812
50538,1981,818
59653,1982,814
69024,1982,818
5703,1978,812
1296,1978,818
74807,1982,813
41250,1981,818
41250,1981,818
76875,1981,812
76875,1981,818
79976,1981,814
79976,1981,818
68470,1982,712
85846,1983,818
85846,1983,818
94598,1983,818
94598,1983,818
35146,1981,818
35146,1981,818
54420,1981,812
54420,1981,818
59087,1982,713
59087,1982,713
868,1978,814
6844,1978,721
543,1978,721
715,1978,812
8590,1978,814
2433,1978,812
2700,1978,818
3953,1978,812
3953,1978,812
3478,1978,814
3237,1978,812
2829,1978,818
236,1978,818
1461,1978,812
2550,1978,812
441,1978,818
829,1978,812
829,1978,818
830,1978,813
830,1978,813
992,1978,721
992,1978,812
1493,1978,821
1493,1978,818
2109,1978,311
2109,1978,311
2134,1978,812
2134,1978,812
2374,1978,812
2374,1978,812
2383,1978,813
2383,1978,251
3964,1979,812
4060,1979,812
4580,1979,812
5259,1979,818
5499,1979,818
5753,1979,818
6585,1979,311
9074,1979,818
7635,1979,814
7644,1979,813
7645,1979,813
8397,1979,818
8397,1979,818
9571,1979,812
9767,1979,818
16245,1979,812
16245,1979,812
14228,1979,816
14228,1979,816
11138,1979,711
12181,1979,812
12217,1979,818
12384,1979,818
14759,1979,813
30571,1979,818
7669,1979,812
7669,1979,311
11330,1979,817
11330,1979,812
10818,1979,815
10818,1979,818
10819,1979,818
11334,1979,812
13777,1979,818
13777,1979,818
3185,1979,818
3185,1979,818
4126,1979,721
3425,1979,818
3425,1979,812
3442,1979,812
3442,1979,812
16266,1979,812
4468,1979,812
4468,1979,812
8487,1979,622
8487,1979,622
10828,1979,818
10828,1979,311
6025,1979,812
6025,1979,812
22140,1979,753
7224,1979,721
7224,1979,721
22887,1979,334
22887,1979,818
7805,1979,713
7805,1979,713
8215,1979,813
8215,1979,813
8236,1979,818
8236,1979,813
8914,1979,817
8914,1979,812
10359,1979,818
10359,1979,818
9401,1979,812
10415,1979,813
10415,1979,251
12000,1979,812
12000,1979,812
12028,1979,818
12028,1979,818
12037,1979,818
3924,1979,818
4220,1979,812
4242,1979,818
4805,1979,812
5110,1979,812
8254,1979,813
7878,1979,215
10048,1979,818
12646,1979,816
12668,1979,818
12678,1979,818
12692,1979,812
13214,1979,721
6393,1979,814
3944,1979,812
9012,1979,818
9012,1979,818
10078,1979,818
10078,1979,818
9472,1979,812
8291,1979,818
18391,1980,818
20440,1980,818
15293,1980,732
20456,1980,814
20525,1980,813
33314,1981,818
8584,1979,818
8584,1979,818
31866,1980,812
32965,1980,812
16337,1980,818
15487,1980,812
16370,1980,821
15545,1980,711
19691,1980,818
17783,1980,818
17846,1980,818
17870,1980,711
18643,1980,814
21027,1980,311
22917,1980,814
19937,1980,813
19937,1980,813
21203,1980,818
26808,1980,712
21302,1980,818
22956,1980,311
22956,1980,818
28284,1980,812
22271,1980,814
22271,1980,813
23613,1980,814
24543,1980,812
24615,1980,818
24057,1980,812
24057,1980,813
37432,1980,814
37432,1980,814
25872,1980,215
25959,1980,731
26862,1980,818
27553,1980,251
26491,1980,818
28800,1980,713
30281,1980,818
30281,1980,812
29945,1980,252
29951,1980,818
31479,1980,818
34211,1980,818
31494,1980,818
33380,1980,812
31942,1980,812
31967,1980,814
15017,1980,812
15017,1980,812
15596,1980,818
15596,1980,818
36453,1980,818
29257,1980,812
29257,1980,812
23055,1980,812
43872,1980,818
28846,1980,817
28846,1980,817
24775,1980,812
24775,1980,251
25251,1980,818
25251,1980,814
26025,1980,812
26025,1980,812
32272,1980,812
15131,1980,711
15148,1980,818
17334,1980,818
15732,1980,721
15732,1980,721
16585,1980,818
16585,1980,818
16602,1980,818
17415,1980,311
18719,1980,812
18719,1980,812
18822,1980,812
18822,1980,812
42458,1980,818
20153,1980,812
20153,1980,812
22613,1980,812
22613,1980,812
22619,1980,816
22619,1980,816
21774,1980,812
21774,1980,812
21790,1980,818
21810,1980,818
22635,1980,818
22635,1980,818
24111,1980,721
23832,1980,818
23832,1980,818
24170,1980,812
24177,1980,812
24900,1980,731
24900,1980,813
25305,1980,215
25305,1980,818
25319,1980,812
25320,1980,334
25320,1980,818
28087,1980,818
27718,1980,311
39379,1980,432
39379,1980,812
28112,1980,812
28112,1980,753
29721,1980,311
29721,1980,814
29743,1980,818
29743,1980,818
29744,1980,812
29744,1980,812
33031,1980,821
33031,1980,252
33414,1980,818
30162,1980,813
30162,1980,813
32002,1980,812
32002,1980,812
14659,1980,818
16693,1980,812
17569,1980,818
18271,1980,818
18900,1980,215
18902,1980,711
20207,1980,818
18924,1980,732
18924,1980,731
20245,1980,812
24378,1980,311
25371,1980,818
27072,1980,742
28982,1980,818
30193,1980,818
19573,1980,813
29795,1980,812
50697,1980,752
14682,1980,712
14682,1980,712
20296,1980,713
28587,1980,311
28587,1980,311
30519,1980,812
30519,1980,815
29417,1980,814
48783,1980,311
38397,1980,818
18340,1980,812
18340,1980,818
28211,1980,818
14192,1980,814
22849,1980,713
40193,1980,818
25791,1980,212
26234,1980,251
26234,1980,814
26235,1980,814
26235,1980,814
20762,1980,754
52095,1980,812
29442,1980,818
33318,1980,818
32939,1981,812
34609,1981,815
34625,1981,818
35561,1981,812
37408,1981,818
39360,1980,812
32373,1981,813
55790,1981,817
32670,1981,813
33079,1981,813
35097,1981,215
33847,1981,818
34710,1981,813
34710,1981,813
42467,1981,818
42467,1981,818
35713,1981,813
35713,1981,212
35715,1981,814
36140,1981,817
37924,1981,251
37987,1981,814
41115,1981,711
41115,1981,711
39778,1981,713
39778,1981,814
38490,1981,818
49317,1981,821
39827,1981,251
39829,1981,812
39518,1981,812
41161,1981,818
48790,1981,711
42498,1981,311
42498,1981,812
41653,1981,721
44396,1981,311
44396,1981,812
41274,1981,813
41274,1981,813
41724,1981,812
45366,1981,812
42577,1981,818
42577,1981,818
44428,1981,812
43082,1981,818
43082,1981,818
43095,1981,712
67901,1981,812
50189,1981,818
50189,1981,818
69159,1981,818
45852,1981,814
46861,1981,212
44535,1981,812
68043,1981,633
45463,1981,818
46546,1981,263
46546,1981,311
47443,1981,753
73260,1981,818
48385,1981,713
48004,1981,818
49418,1981,814
49790,1981,713
48982,1981,712
50237,1981,311
51151,1981,818
51151,1981,818
53669,1981,814
55337,1981,818
55337,1981,818
51194,1981,818
52249,1981,818
62098,1981,818
54136,1981,812
55351,1981,215
50858,1981,713
55363,1981,813
54157,1981,311
54706,1981,812
54706,1981,812
52791,1981,812
52791,1981,812
54737,1981,251
51851,1981,334
51851,1981,818
52829,1981,814
52829,1981,813
57272,1981,814
53402,1981,212
53402,1981,212
53840,1981,812
54891,1981,713
82213,1981,712
